date,symbol,side,qty,entry,exit,pnl,exitDate,notes
2026-05-04T09:51:00+05:30,BANKNIFTY24JUL52000CE,short,2,273.35,251.03,-1116,2026-05-04T10:28:00+05:30,
2026-05-04T10:41:00+05:30,BANKNIFTY24JUL52000PE,long,3,246.03,223.86,-1663,2026-05-04T11:33:00+05:30,chasing the loss
2026-05-04T11:37:00+05:30,NIFTY24JUL24500CE,long,3,294.3,310.21,1193,2026-05-04T11:59:00+05:30,chasing the loss
2026-05-04T12:17:00+05:30,BANKNIFTY24JUL52000CE,short,3,162.97,140.7,-1670,2026-05-04T13:57:00+05:30,chasing the loss
2026-05-04T14:10:00+05:30,BANKNIFTY24JUL51500PE,short,4,146.54,158.19,1165,2026-05-04T14:23:00+05:30,revenge re-entry
2026-05-05T09:41:00+05:30,NIFTY24JUL24500PE,short,2,143.74,156.66,646,2026-05-05T10:03:00+05:30,
2026-05-05T10:23:00+05:30,BANKNIFTY24JUL51500PE,short,2,154.65,168.21,678,2026-05-05T10:38:00+05:30,
2026-05-06T09:25:00+05:30,BANKNIFTY24JUL51500PE,short,2,253.09,240.57,-626,2026-05-06T10:01:00+05:30,
2026-05-06T10:19:00+05:30,NIFTY24JUL24500PE,long,3,121.19,104.8,-1229,2026-05-06T11:46:00+05:30,chasing the loss
2026-05-07T09:42:00+05:30,BANKNIFTY24JUL52000CE,long,2,197.35,215.33,899,2026-05-07T09:54:00+05:30,
2026-05-07T10:06:00+05:30,BANKNIFTY24JUL51500PE,short,2,263.79,248.09,-785,2026-05-07T11:46:00+05:30,held too long
2026-05-08T09:34:00+05:30,NIFTY24JUL24500PE,short,2,123.58,137.88,715,2026-05-08T09:48:00+05:30,
2026-05-08T10:03:00+05:30,NIFTY24JUL24500CE,long,2,237.99,252.67,734,2026-05-08T10:28:00+05:30,
2026-05-08T10:32:00+05:30,NIFTY24JUL24700CE,short,2,244.61,231.85,-638,2026-05-08T11:37:00+05:30,
2026-05-11T09:38:00+05:30,BANKNIFTY24JUL52000PE,short,2,142.6,121.78,-1041,2026-05-11T10:53:00+05:30,
2026-05-12T09:21:00+05:30,NIFTY24JUL24700CE,long,2,290.55,304.89,717,2026-05-12T09:32:00+05:30,booked quick
2026-05-13T09:26:00+05:30,NIFTY24JUL24700CE,short,2,191.64,205.66,701,2026-05-13T09:43:00+05:30,
2026-05-13T09:55:00+05:30,NIFTY24JUL24500PE,long,2,188.05,170.75,-865,2026-05-13T10:35:00+05:30,
2026-05-13T10:47:00+05:30,NIFTY24JUL24500CE,long,3,138.84,118.92,-1494,2026-05-13T11:32:00+05:30,chasing the loss
2026-05-13T11:43:00+05:30,BANKNIFTY24JUL52000CE,short,3,169.25,151.3,-1346,2026-05-13T13:03:00+05:30,chasing the loss
2026-05-14T09:31:00+05:30,NIFTY24JUL24700CE,short,2,285.16,300.38,761,2026-05-14T09:49:00+05:30,
2026-05-14T10:05:00+05:30,NIFTY24JUL24500CE,long,2,239.85,252.59,637,2026-05-14T10:27:00+05:30,
2026-05-14T10:44:00+05:30,NIFTY24JUL24700CE,short,2,181.22,163.88,-867,2026-05-14T11:42:00+05:30,
2026-05-14T11:46:00+05:30,BANKNIFTY24JUL52000PE,short,3,212.62,196.55,-1205,2026-05-14T13:24:00+05:30,revenge re-entry
2026-05-14T13:29:00+05:30,BANKNIFTY24JUL51500PE,long,3,157.04,174.75,1328,2026-05-14T13:49:00+05:30,chasing the loss
2026-05-15T09:25:00+05:30,NIFTY24JUL24700CE,long,2,294.47,276.41,-903,2026-05-15T10:11:00+05:30,
2026-05-15T10:29:00+05:30,NIFTY24JUL24500PE,long,3,291.01,270.88,-1510,2026-05-15T11:49:00+05:30,revenge re-entry
2026-05-15T12:03:00+05:30,BANKNIFTY24JUL51500PE,short,3,141.78,119.86,-1644,2026-05-15T13:38:00+05:30,revenge re-entry
2026-05-15T13:46:00+05:30,BANKNIFTY24JUL51500PE,short,3,165.3,177.86,942,2026-05-15T13:57:00+05:30,chasing the loss
2026-05-18T09:41:00+05:30,NIFTY24JUL24500PE,short,3,234.42,251.57,1286,2026-05-18T10:02:00+05:30,
2026-05-19T09:21:00+05:30,BANKNIFTY24JUL51500PE,short,3,132.72,144.12,855,2026-05-19T09:38:00+05:30,
2026-05-19T09:44:00+05:30,BANKNIFTY24JUL51500PE,short,4,297.56,278.3,-1926,2026-05-19T11:04:00+05:30,
2026-05-20T15:11:00+05:30,BANKNIFTY24JUL51500PE,short,3,270.43,286.55,1209,2026-05-20T15:27:00+05:30,
2026-05-21T09:16:00+05:30,NIFTY24JUL24700CE,short,3,257.02,270.78,1032,2026-05-21T09:28:00+05:30,
2026-05-21T09:37:00+05:30,BANKNIFTY24JUL51500PE,long,4,190.81,205.21,1440,2026-05-21T09:52:00+05:30,
2026-05-22T09:43:00+05:30,NIFTY24JUL24700CE,short,3,291.82,275.47,-1226,2026-05-22T10:38:00+05:30,
2026-05-25T09:41:00+05:30,NIFTY24JUL24700CE,short,2,230.68,243.8,656,2026-05-25T09:58:00+05:30,
2026-05-25T10:11:00+05:30,NIFTY24JUL24500PE,long,2,296.12,280.26,-793,2026-05-25T11:08:00+05:30,
2026-05-25T11:13:00+05:30,BANKNIFTY24JUL52000PE,short,4,159.34,143.01,-1633,2026-05-25T12:40:00+05:30,chasing the loss
2026-05-26T15:05:00+05:30,NIFTY24JUL24700CE,short,2,242.78,225.28,-875,2026-05-26T15:29:00+05:30,
2026-05-26T15:25:00+05:30,NIFTY24JUL24500PE,long,3,198.96,210.68,879,2026-05-26T15:29:00+05:30,revenge re-entry
2026-05-26T15:25:00+05:30,NIFTY24JUL24500CE,long,3,212.8,195.57,-1292,2026-05-26T15:29:00+05:30,chasing the loss
2026-05-26T15:25:00+05:30,BANKNIFTY24JUL52000CE,long,4,258.54,238.54,-2000,2026-05-26T15:29:00+05:30,revenge re-entry
2026-05-27T09:47:00+05:30,NIFTY24JUL24500PE,long,2,209.21,195.25,-698,2026-05-27T10:28:00+05:30,
2026-05-27T10:44:00+05:30,BANKNIFTY24JUL51500PE,long,3,149.07,166.03,1272,2026-05-27T10:55:00+05:30,revenge re-entry
2026-05-27T11:04:00+05:30,NIFTY24JUL24500PE,long,4,218.02,195.84,-2218,2026-05-27T11:59:00+05:30,chasing the loss
2026-05-27T12:10:00+05:30,BANKNIFTY24JUL52000CE,short,3,265.56,248.85,-1253,2026-05-27T13:15:00+05:30,revenge re-entry
2026-05-28T09:47:00+05:30,BANKNIFTY24JUL52000PE,long,2,250.86,263.64,639,2026-05-28T10:12:00+05:30,
2026-05-29T15:11:00+05:30,BANKNIFTY24JUL52000CE,short,2,120.1,137.1,850,2026-05-29T15:27:00+05:30,
2026-06-01T09:38:00+05:30,NIFTY24JUL24500CE,long,2,255.05,241.43,-681,2026-06-01T10:13:00+05:30,
2026-06-01T10:18:00+05:30,BANKNIFTY24JUL52000CE,short,4,221.67,206.64,-1503,2026-06-01T11:43:00+05:30,revenge re-entry
2026-06-02T09:29:00+05:30,NIFTY24JUL24500CE,short,2,144.56,157,622,2026-06-02T09:52:00+05:30,
2026-06-03T09:48:00+05:30,NIFTY24JUL24500PE,long,2,278.41,264.33,-704,2026-06-03T11:12:00+05:30,held too long
2026-06-03T11:31:00+05:30,BANKNIFTY24JUL51500PE,short,3,252.55,234.47,-1356,2026-06-03T12:23:00+05:30,chasing the loss
2026-06-03T12:31:00+05:30,BANKNIFTY24JUL52000CE,long,4,267.9,250.23,-1767,2026-06-03T13:10:00+05:30,chasing the loss
2026-06-04T09:36:00+05:30,NIFTY24JUL24700CE,long,2,282.92,301.24,916,2026-06-04T09:52:00+05:30,
2026-06-04T10:08:00+05:30,NIFTY24JUL24700CE,long,2,229.93,208.53,-1070,2026-06-04T11:17:00+05:30,
2026-06-04T11:27:00+05:30,BANKNIFTY24JUL51500PE,long,3,132.73,147.46,1105,2026-06-04T11:48:00+05:30,chasing the loss
2026-06-04T12:01:00+05:30,BANKNIFTY24JUL52000PE,short,4,187.17,166.01,-2116,2026-06-04T12:58:00+05:30,revenge re-entry
2026-06-04T13:06:00+05:30,BANKNIFTY24JUL52000PE,short,3,194.06,209.06,1125,2026-06-04T13:18:00+05:30,chasing the loss
2026-06-05T14:58:00+05:30,NIFTY24JUL24500PE,long,2,176.67,162.29,-719,2026-06-05T15:29:00+05:30,held too long
2026-06-05T15:25:00+05:30,BANKNIFTY24JUL52000PE,short,4,178.58,190.05,1147,2026-06-05T15:29:00+05:30,revenge re-entry
2026-06-08T09:24:00+05:30,BANKNIFTY24JUL52000PE,short,2,262.64,241.84,-1040,2026-06-08T10:01:00+05:30,
2026-06-09T09:16:00+05:30,BANKNIFTY24JUL52000PE,long,2,188,174.08,-696,2026-06-09T10:51:00+05:30,held too long
2026-06-09T10:57:00+05:30,NIFTY24JUL24500CE,long,3,290.21,300.98,808,2026-06-09T11:21:00+05:30,chasing the loss
2026-06-09T11:27:00+05:30,BANKNIFTY24JUL52000PE,short,4,254.54,268.24,1370,2026-06-09T11:51:00+05:30,chasing the loss
2026-06-10T09:44:00+05:30,BANKNIFTY24JUL52000CE,short,2,152.15,136.63,-776,2026-06-10T11:08:00+05:30,held too long
2026-06-10T11:28:00+05:30,NIFTY24JUL24500CE,long,3,262.45,245.28,-1288,2026-06-10T12:31:00+05:30,chasing the loss
2026-06-11T09:56:00+05:30,NIFTY24JUL24500CE,short,2,264.35,246.13,-911,2026-06-11T11:06:00+05:30,
2026-06-11T11:14:00+05:30,BANKNIFTY24JUL52000CE,short,4,280.47,291.1,1063,2026-06-11T11:22:00+05:30,revenge re-entry
2026-06-11T11:32:00+05:30,NIFTY24JUL24500PE,short,3,266.87,245.34,-1615,2026-06-11T13:07:00+05:30,revenge re-entry
2026-06-11T13:22:00+05:30,BANKNIFTY24JUL52000PE,short,4,120.71,98.94,-2177,2026-06-11T14:24:00+05:30,chasing the loss
2026-06-12T09:53:00+05:30,NIFTY24JUL24500PE,long,2,285.78,273.48,-615,2026-06-12T10:48:00+05:30,
2026-06-12T10:56:00+05:30,BANKNIFTY24JUL51500PE,long,4,204.19,187.44,-1675,2026-06-12T12:15:00+05:30,chasing the loss
2026-06-15T09:53:00+05:30,BANKNIFTY24JUL51500PE,long,2,167.32,148.36,-948,2026-06-15T10:43:00+05:30,
2026-06-15T11:02:00+05:30,BANKNIFTY24JUL52000CE,short,4,246.78,263.65,1687,2026-06-15T11:18:00+05:30,chasing the loss
2026-06-15T11:29:00+05:30,NIFTY24JUL24500PE,short,3,147.91,131.48,-1232,2026-06-15T12:13:00+05:30,revenge re-entry
2026-06-15T12:29:00+05:30,NIFTY24JUL24700CE,long,4,210.81,228.63,1782,2026-06-15T12:53:00+05:30,revenge re-entry
2026-06-15T13:01:00+05:30,BANKNIFTY24JUL52000CE,short,3,139.15,123.44,-1178,2026-06-15T13:58:00+05:30,chasing the loss
2026-06-16T09:48:00+05:30,NIFTY24JUL24500CE,short,2,246.72,233.68,-652,2026-06-16T10:34:00+05:30,
2026-06-16T10:50:00+05:30,NIFTY24JUL24500PE,long,3,126.83,137.36,790,2026-06-16T11:00:00+05:30,revenge re-entry
2026-06-16T11:06:00+05:30,NIFTY24JUL24500CE,short,3,134.39,152.6,1366,2026-06-16T11:24:00+05:30,revenge re-entry
2026-06-16T11:29:00+05:30,NIFTY24JUL24500PE,short,3,145.13,156.5,853,2026-06-16T11:37:00+05:30,revenge re-entry
2026-06-16T11:43:00+05:30,BANKNIFTY24JUL52000PE,long,4,231.93,244.07,1214,2026-06-16T12:00:00+05:30,revenge re-entry
2026-06-17T09:19:00+05:30,BANKNIFTY24JUL52000PE,short,2,277.86,291.44,679,2026-06-17T09:32:00+05:30,
2026-06-17T09:40:00+05:30,BANKNIFTY24JUL52000PE,short,2,131.6,113.64,-898,2026-06-17T10:45:00+05:30,
2026-06-17T10:50:00+05:30,NIFTY24JUL24500PE,long,3,212.82,197.07,-1181,2026-06-17T12:24:00+05:30,revenge re-entry
2026-06-17T12:34:00+05:30,NIFTY24JUL24500PE,short,4,151.44,169.15,1771,2026-06-17T12:43:00+05:30,revenge re-entry
2026-06-17T13:03:00+05:30,BANKNIFTY24JUL51500PE,long,3,134.33,114.09,-1518,2026-06-17T14:20:00+05:30,chasing the loss
2026-06-18T09:33:00+05:30,NIFTY24JUL24500PE,long,2,189.71,175.33,-719,2026-06-18T10:23:00+05:30,
2026-06-18T10:42:00+05:30,NIFTY24JUL24700CE,short,3,142.97,123.37,-1470,2026-06-18T12:16:00+05:30,chasing the loss
2026-06-18T12:31:00+05:30,NIFTY24JUL24500CE,short,3,146.52,159.27,956,2026-06-18T12:45:00+05:30,chasing the loss
2026-06-18T12:56:00+05:30,BANKNIFTY24JUL52000CE,short,4,228.11,244.25,1614,2026-06-18T13:15:00+05:30,revenge re-entry
2026-06-19T09:56:00+05:30,NIFTY24JUL24500CE,long,2,256.77,236.35,-1021,2026-06-19T10:35:00+05:30,
2026-06-19T10:46:00+05:30,BANKNIFTY24JUL52000PE,short,4,220.17,205.2,-1497,2026-06-19T11:30:00+05:30,revenge re-entry
2026-06-19T11:44:00+05:30,NIFTY24JUL24700CE,long,4,175.42,189.25,1383,2026-06-19T11:54:00+05:30,chasing the loss
2026-06-22T15:13:00+05:30,NIFTY24JUL24500PE,short,2,210.56,227.18,831,2026-06-22T15:29:00+05:30,
2026-06-23T09:40:00+05:30,BANKNIFTY24JUL52000CE,long,2,256.15,274.43,914,2026-06-23T09:59:00+05:30,
2026-06-23T10:18:00+05:30,BANKNIFTY24JUL52000CE,long,2,281.53,269.33,-610,2026-06-23T10:55:00+05:30,
2026-06-23T11:15:00+05:30,NIFTY24JUL24500PE,long,3,167.01,151.68,-1150,2026-06-23T11:54:00+05:30,chasing the loss
2026-06-24T15:18:00+05:30,BANKNIFTY24JUL51500PE,long,2,210.84,224.84,700,2026-06-24T15:29:00+05:30,
2026-06-24T15:25:00+05:30,BANKNIFTY24JUL51500PE,short,2,288.86,268.38,-1024,2026-06-24T15:29:00+05:30,
2026-06-24T15:25:00+05:30,NIFTY24JUL24500PE,short,4,287.06,267.7,-1936,2026-06-24T15:29:00+05:30,revenge re-entry
2026-06-24T15:25:00+05:30,BANKNIFTY24JUL52000CE,short,3,228.11,212.83,-1146,2026-06-24T15:29:00+05:30,revenge re-entry
2026-06-25T09:17:00+05:30,NIFTY24JUL24700CE,long,2,280.31,293.03,636,2026-06-25T09:38:00+05:30,
2026-06-25T09:49:00+05:30,BANKNIFTY24JUL52000PE,long,2,246.01,224.71,-1065,2026-06-25T10:44:00+05:30,
2026-06-25T11:00:00+05:30,NIFTY24JUL24700CE,long,4,149.83,166.28,1645,2026-06-25T11:20:00+05:30,revenge re-entry
2026-06-26T09:26:00+05:30,BANKNIFTY24JUL52000PE,short,2,164.88,148.98,-795,2026-06-26T10:39:00+05:30,
2026-06-29T09:28:00+05:30,BANKNIFTY24JUL52000PE,short,2,178.85,192.75,695,2026-06-29T09:53:00+05:30,
2026-06-29T10:11:00+05:30,NIFTY24JUL24700CE,long,2,214.12,192.96,-1058,2026-06-29T11:23:00+05:30,
2026-06-30T09:34:00+05:30,BANKNIFTY24JUL51500PE,short,2,176.03,187.47,572,2026-06-30T09:51:00+05:30,
2026-06-30T09:59:00+05:30,NIFTY24JUL24500CE,short,2,288.67,275.31,-668,2026-06-30T10:57:00+05:30,
2026-07-01T09:38:00+05:30,BANKNIFTY24JUL52000PE,long,2,170.52,156.12,-720,2026-07-01T10:17:00+05:30,
2026-07-01T10:32:00+05:30,NIFTY24JUL24700CE,long,3,166.92,151.61,-1148,2026-07-01T11:34:00+05:30,revenge re-entry
2026-07-01T11:46:00+05:30,NIFTY24JUL24500PE,short,3,139.69,124.17,-1164,2026-07-01T12:46:00+05:30,revenge re-entry
2026-07-01T13:03:00+05:30,NIFTY24JUL24500PE,short,3,241.28,255.65,1078,2026-07-01T13:25:00+05:30,chasing the loss
2026-07-02T09:53:00+05:30,BANKNIFTY24JUL52000CE,long,2,188.79,204.35,778,2026-07-02T10:18:00+05:30,
2026-07-02T10:36:00+05:30,BANKNIFTY24JUL52000CE,long,2,292.7,280.62,-604,2026-07-02T11:45:00+05:30,
2026-07-02T11:56:00+05:30,BANKNIFTY24JUL51500PE,short,4,276.68,258.61,-1807,2026-07-02T13:16:00+05:30,chasing the loss
2026-07-02T13:22:00+05:30,NIFTY24JUL24500CE,short,4,255.27,240.54,-1473,2026-07-02T14:42:00+05:30,revenge re-entry
2026-07-02T14:49:00+05:30,BANKNIFTY24JUL52000CE,long,3,154.65,169.13,1086,2026-07-02T15:02:00+05:30,revenge re-entry
